ID,Hotel,Agents,Check_in,Check_out,Price
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Hilton Tampa Airport Westshore Official Site,"Thu, Apr 13","Fri, Apr 14",$770
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Hoken,"Thu, Apr 13","Fri, Apr 14",$454
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Booking.com,"Thu, Apr 13","Fri, Apr 14",$770
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,KAYAK.id,"Thu, Apr 13","Fri, Apr 14",$770
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Reserving.com,"Thu, Apr 13","Fri, Apr 14",$770
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Reservations.com,"Thu, Apr 13","Fri, Apr 14",$948
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,PrimaStay,"Thu, Apr 13","Fri, Apr 14",$770
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,SuperTravel,"Thu, Apr 13","Fri, Apr 14",$770
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Hotels Ugogo,"Thu, Apr 13","Fri, Apr 14",$778
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Wego,"Thu, Apr 13","Fri, Apr 14",$797
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Trip.com,"Thu, Apr 13","Fri, Apr 14",$770
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,getaroom,"Thu, Apr 13","Fri, Apr 14",$770
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Stayforless,"Thu, Apr 13","Fri, Apr 14",$770
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Musetrip,"Thu, Apr 13","Fri, Apr 14",$770
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Priceline,"Thu, Apr 13","Fri, Apr 14",$770
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,eSky.com,"Thu, Apr 13","Fri, Apr 14",$769
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Bluepillow.com,"Thu, Apr 13","Fri, Apr 14",$770
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Booketta,"Thu, Apr 13","Fri, Apr 14",$770
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,us.rehlat.com,"Thu, Apr 13","Fri, Apr 14",$787
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Opodo,"Thu, Apr 13","Fri, Apr 14",$797
a7a16bc4-5c1b-4c10-b607-064290f5e940,Hilton Tampa Airport Westshore,Wotif.com,"Thu, Apr 13","Fri, Apr 14",$766
